Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
France,7149,France,Gold,"Shooting Men's Military Rifle, Any Position, 600 metres",No Medal,No Medal,No Medal,No Medal
France,74313172,France,No Medal,"Cycling Men's Road Race, Individual",Bronze,Gold,No Medal,No Medal
France,74313151,France,No Medal,"Fencing Men's Foil, Individual",Bronze,Gold,Gold,No Medal
France,74319251,France,No Medal,Rowing Men's Coxless Pairs,No Medal,Silver,No Medal,No Medal
France,74319252,France,No Medal,Rowing Men's Coxed Fours,No Medal,Silver,No Medal,No Medal
France,74319272,France,No Medal,"Athletics Men's Cross-Country, Team",No Medal,Bronze,No Medal,No Medal
France,74313167,France,No Medal,Weightlifting Men's Heavyweight,Bronze,No Medal,No Medal,No Medal
France,74313148,France,No Medal,"Fencing Men's Foil, Individual",Silver,Silver,Gold,No Medal
France,74313157,France,No Medal,"Athletics Men's 10,000 metres",Silver,No Medal,No Medal,No Medal
France,74323909,France,No Medal,Sailing Mixed One Person Dinghy,No Medal,No Medal,No Medal,Gold
France,74319258,France,No Medal,Weightlifting Men's Lightweight,No Medal,Gold,Bronze,Gold
France,74319270,France,No Medal,Boxing Men's Bantamweight,No Medal,Bronze,No Medal,No Medal
France,74319273,France,No Medal,"Athletics Men's 3,000 metres Steeplechase",No Medal,Bronze,No Medal,No Medal
France,7148,France,Gold,"Tennis Men's Doubles, Covered Courts",No Medal,No Medal,No Medal,No Medal
France,74313153,France,No Medal,"Equestrianism Men's Vaulting, Individual",Silver,No Medal,No Medal,No Medal
France,74313140,France,No Medal,"Fencing Men's epee, Individual",Silver,Silver,Silver,Silver
France,74313147,France,No Medal,"Fencing Men's Foil, Team",Silver,Gold,Silver,Gold
France,7143,France,Silver,"Athletics Men's 5,000 metres",Gold,No Medal,No Medal,No Medal
France,74313143,France,No Medal,"Fencing Men's epee, Individual",Gold,Silver,Gold,Silver
France,7147,France,Gold,"Tennis Men's Singles, Covered Courts",No Medal,No Medal,No Medal,No Medal
France,74323912,France,No Medal,"Cycling Men's 1,000 metres Time Trial",No Medal,No Medal,No Medal,Bronze
France,74319264,France,No Medal,Art Competitions Mixed Literature,No Medal,Gold,No Medal,No Medal
France,74313144,France,No Medal,"Fencing Men's epee, Individual",Bronze,Silver,Silver,Silver
France,74313137,France,No Medal,Sailing Mixed 6.5 metres,Silver,No Medal,No Medal,No Medal
France,74313168,France,No Medal,Tennis Women's Doubles,Bronze,No Medal,No Medal,No Medal
France,74313149,France,No Medal,"Fencing Men's Foil, Individual",Silver,Gold,Gold,No Medal
France,74323908,France,No Medal,Weightlifting Men's Featherweight,No Medal,No Medal,No Medal,Gold
France,74313174,France,No Medal,Boxing Men's Heavyweight,Bronze,No Medal,No Medal,No Medal
France,74319267,France,No Medal,Gymnastics Men's Horizontal Bar,No Medal,Bronze,No Medal,No Medal
France,74319268,France,No Medal,"Equestrianism Men's Dressage, Individual",No Medal,Bronze,Silver,Silver
France,74313141,France,No Medal,"Fencing Men's epee, Individual",Silver,Silver,Gold,Silver
France,74313145,France,No Medal,"Fencing Men's epee, Individual",Bronze,Silver,Gold,Silver
France,74323913,France,No Medal,Athletics Men's Discus Throw,No Medal,No Medal,No Medal,Bronze
France,74313136,France,No Medal,"Shooting Men's Military Rifle, Prone, 300 metres",Silver,No Medal,No Medal,No Medal
France,74313135,France,No Medal,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Silver,No Medal,No Medal,No Medal
France,74323550,France,No Medal,Athletics Men's Marathon,No Medal,No Medal,Gold,No Medal
France,7146,France,Gold,Tennis Women's Singles,Gold,Silver,No Medal,No Medal
France,74313142,France,No Medal,"Fencing Men's epee, Individual",Gold,Silver,Silver,Silver
Germany,7530,Germany,Gold,"Fencing Women's Foil, Individual",No Medal,Silver,No Medal,No Medal
Germany,74170924,Germany,No Medal,Athletics Women's Pentathlon,Gold,Silver,Gold,No Medal
Germany,74317841,Germany,No Medal,Athletics Women's 4 x 400 metres Relay,No Medal,Bronze,Gold,Silver
Germany,74317570,Germany,No Medal,Swimming Women's 100 metres Butterfly,No Medal,Silver,Gold,Silver
Germany,7557,Germany,Gold,Athletics Women's 800 metres,No Medal,Gold,Bronze,No Medal
Germany,7613,Germany,Bronze,"Equestrianism Men's Three-Day Event, Individual",No Medal,Gold,Bronze,Silver
Germany,74170262,Germany,No Medal,"Equestrianism Mixed Dressage, Individual",Bronze,Gold,Bronze,Bronze
